[2026-03-19T09:29:02.129+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896649.json to Snowflake stage
[2026-03-19T09:29:02.346+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896660.json to Snowflake stage
[2026-03-19T09:29:02.534+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896670.json to Snowflake stage
[2026-03-19T09:29:02.700+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896681.json to Snowflake stage
[2026-03-19T09:29:02.897+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896691.json to Snowflake stage
[2026-03-19T09:29:03.093+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896701.json to Snowflake stage
[2026-03-19T09:29:03.426+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896711.json to Snowflake stage
[2026-03-19T09:29:03.599+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896721.json to Snowflake stage
[2026-03-19T09:29:03.774+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896732.json to Snowflake stage
[2026-03-19T09:29:04.372+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896742.json to Snowflake stage
[2026-03-19T09:29:04.560+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896752.json to Snowflake stage
[2026-03-19T09:29:04.756+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896762.json to Snowflake stage
[2026-03-19T09:29:04.864+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896772.json to Snowflake stage
[2026-03-19T09:29:05.081+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896782.json to Snowflake stage
[2026-03-19T09:29:05.255+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896792.json to Snowflake stage
[2026-03-19T09:29:05.484+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896802.json to Snowflake stage
[2026-03-19T09:29:05.661+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896812.json to Snowflake stage
[2026-03-19T09:29:05.828+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896822.json to Snowflake stage
[2026-03-19T09:29:06.042+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896832.json to Snowflake stage
