[2026-03-19T09:28:09.116+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-03-19T09:28:11.397+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896393.json -> /tmp/minio_downloads/1773896393.json
[2026-03-19T09:28:11.412+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896404.json -> /tmp/minio_downloads/1773896404.json
[2026-03-19T09:28:11.425+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896414.json -> /tmp/minio_downloads/1773896414.json
[2026-03-19T09:28:11.437+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896425.json -> /tmp/minio_downloads/1773896425.json
[2026-03-19T09:28:11.450+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896436.json -> /tmp/minio_downloads/1773896436.json
[2026-03-19T09:28:11.464+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896446.json -> /tmp/minio_downloads/1773896446.json
[2026-03-19T09:28:11.477+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896457.json -> /tmp/minio_downloads/1773896457.json
[2026-03-19T09:28:11.490+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896467.json -> /tmp/minio_downloads/1773896467.json
[2026-03-19T09:28:11.503+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896477.json -> /tmp/minio_downloads/1773896477.json
[2026-03-19T09:28:11.516+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896487.json -> /tmp/minio_downloads/1773896487.json
[2026-03-19T09:28:11.529+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896498.json -> /tmp/minio_downloads/1773896498.json
[2026-03-19T09:28:11.541+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896508.json -> /tmp/minio_downloads/1773896508.json
[2026-03-19T09:28:11.555+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896518.json -> /tmp/minio_downloads/1773896518.json
[2026-03-19T09:28:11.569+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896528.json -> /tmp/minio_downloads/1773896528.json
[2026-03-19T09:28:11.582+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896538.json -> /tmp/minio_downloads/1773896538.json
[2026-03-19T09:28:11.596+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896548.json -> /tmp/minio_downloads/1773896548.json
[2026-03-19T09:28:11.610+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896558.json -> /tmp/minio_downloads/1773896558.json
[2026-03-19T09:28:11.623+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896568.json -> /tmp/minio_downloads/1773896568.json
[2026-03-19T09:28:11.637+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896578.json -> /tmp/minio_downloads/1773896578.json
[2026-03-19T09:28:11.651+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896588.json -> /tmp/minio_downloads/1773896588.json
[2026-03-19T09:28:11.667+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896598.json -> /tmp/minio_downloads/1773896598.json
[2026-03-19T09:28:11.680+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896608.json -> /tmp/minio_downloads/1773896608.json
[2026-03-19T09:28:11.693+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896618.json -> /tmp/minio_downloads/1773896618.json
[2026-03-19T09:28:11.706+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896629.json -> /tmp/minio_downloads/1773896629.json
[2026-03-19T09:28:11.719+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896639.json -> /tmp/minio_downloads/1773896639.json
[2026-03-19T09:28:11.732+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896649.json -> /tmp/minio_downloads/1773896649.json
[2026-03-19T09:28:11.745+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896660.json -> /tmp/minio_downloads/1773896660.json
[2026-03-19T09:28:11.758+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896670.json -> /tmp/minio_downloads/1773896670.json
[2026-03-19T09:28:11.771+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896681.json -> /tmp/minio_downloads/1773896681.json
[2026-03-19T09:28:11.784+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896691.json -> /tmp/minio_downloads/1773896691.json
[2026-03-19T09:28:11.797+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896701.json -> /tmp/minio_downloads/1773896701.json
[2026-03-19T09:28:11.811+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896711.json -> /tmp/minio_downloads/1773896711.json
[2026-03-19T09:28:11.823+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896721.json -> /tmp/minio_downloads/1773896721.json
[2026-03-19T09:28:11.836+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896732.json -> /tmp/minio_downloads/1773896732.json
[2026-03-19T09:28:11.850+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896742.json -> /tmp/minio_downloads/1773896742.json
[2026-03-19T09:28:11.864+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896752.json -> /tmp/minio_downloads/1773896752.json
[2026-03-19T09:28:11.877+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896762.json -> /tmp/minio_downloads/1773896762.json
[2026-03-19T09:28:11.890+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896772.json -> /tmp/minio_downloads/1773896772.json
[2026-03-19T09:28:11.902+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896782.json -> /tmp/minio_downloads/1773896782.json
[2026-03-19T09:28:11.915+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896792.json -> /tmp/minio_downloads/1773896792.json
[2026-03-19T09:28:11.928+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896802.json -> /tmp/minio_downloads/1773896802.json
[2026-03-19T09:28:11.940+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896812.json -> /tmp/minio_downloads/1773896812.json
[2026-03-19T09:28:11.952+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896822.json -> /tmp/minio_downloads/1773896822.json
[2026-03-19T09:28:11.965+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896832.json -> /tmp/minio_downloads/1773896832.json
[2026-03-19T09:28:11.977+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896842.json -> /tmp/minio_downloads/1773896842.json
[2026-03-19T09:28:11.990+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896852.json -> /tmp/minio_downloads/1773896852.json
[2026-03-19T09:28:12.002+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896862.json -> /tmp/minio_downloads/1773896862.json
[2026-03-19T09:28:12.013+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896872.json -> /tmp/minio_downloads/1773896872.json
[2026-03-19T09:28:12.025+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896882.json -> /tmp/minio_downloads/1773896882.json
[2026-03-19T09:28:12.037+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896892.json -> /tmp/minio_downloads/1773896892.json
[2026-03-19T09:28:12.049+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896902.json -> /tmp/minio_downloads/1773896902.json
[2026-03-19T09:28:12.061+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896912.json -> /tmp/minio_downloads/1773896912.json
[2026-03-19T09:28:12.073+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896923.json -> /tmp/minio_downloads/1773896923.json
[2026-03-19T09:28:12.085+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896933.json -> /tmp/minio_downloads/1773896933.json
[2026-03-19T09:28:12.097+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896943.json -> /tmp/minio_downloads/1773896943.json
[2026-03-19T09:28:12.109+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896953.json -> /tmp/minio_downloads/1773896953.json
[2026-03-19T09:28:12.125+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896963.json -> /tmp/minio_downloads/1773896963.json
[2026-03-19T09:28:12.137+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896973.json -> /tmp/minio_downloads/1773896973.json
[2026-03-19T09:28:12.149+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896983.json -> /tmp/minio_downloads/1773896983.json
[2026-03-19T09:28:12.161+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896993.json -> /tmp/minio_downloads/1773896993.json
[2026-03-19T09:28:12.173+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897003.json -> /tmp/minio_downloads/1773897003.json
[2026-03-19T09:28:12.186+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897013.json -> /tmp/minio_downloads/1773897013.json
[2026-03-19T09:28:12.199+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897023.json -> /tmp/minio_downloads/1773897023.json
[2026-03-19T09:28:12.211+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897033.json -> /tmp/minio_downloads/1773897033.json
[2026-03-19T09:28:12.224+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897043.json -> /tmp/minio_downloads/1773897043.json
[2026-03-19T09:28:12.236+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897054.json -> /tmp/minio_downloads/1773897054.json
[2026-03-19T09:28:12.248+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897064.json -> /tmp/minio_downloads/1773897064.json
[2026-03-19T09:28:12.259+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897074.json -> /tmp/minio_downloads/1773897074.json
[2026-03-19T09:28:12.271+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897084.json -> /tmp/minio_downloads/1773897084.json
[2026-03-19T09:28:12.283+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897094.json -> /tmp/minio_downloads/1773897094.json
[2026-03-19T09:28:12.294+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897104.json -> /tmp/minio_downloads/1773897104.json
[2026-03-19T09:28:12.305+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897114.json -> /tmp/minio_downloads/1773897114.json
[2026-03-19T09:28:12.316+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897124.json -> /tmp/minio_downloads/1773897124.json
