[2026-03-19T09:36:44.019+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-03-19T09:36:44.071+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-03-19T09:31:00+00:00 [queued]>
[2026-03-19T09:36:44.083+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-03-19T09:31:00+00:00 [queued]>
[2026-03-19T09:36:44.085+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-03-19T09:36:47.815+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896467.json to Snowflake stage
[2026-03-19T09:36:47.991+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896477.json to Snowflake stage
[2026-03-19T09:36:48.183+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896487.json to Snowflake stage
[2026-03-19T09:36:48.313+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896498.json to Snowflake stage
[2026-03-19T09:36:48.532+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896508.json to Snowflake stage
[2026-03-19T09:36:48.764+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896518.json to Snowflake stage
[2026-03-19T09:36:48.999+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896528.json to Snowflake stage
[2026-03-19T09:36:49.151+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896538.json to Snowflake stage
[2026-03-19T09:36:49.324+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896548.json to Snowflake stage
[2026-03-19T09:36:49.481+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896558.json to Snowflake stage
[2026-03-19T09:36:49.650+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896568.json to Snowflake stage
[2026-03-19T09:36:49.770+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896578.json to Snowflake stage
[2026-03-19T09:36:49.965+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896588.json to Snowflake stage
[2026-03-19T09:36:50.095+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896598.json to Snowflake stage
[2026-03-19T09:36:50.270+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896608.json to Snowflake stage
[2026-03-19T09:36:50.440+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896618.json to Snowflake stage
[2026-03-19T09:36:50.660+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896629.json to Snowflake stage
[2026-03-19T09:36:50.780+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896639.json to Snowflake stage
[2026-03-19T09:36:50.944+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896649.json to Snowflake stage
[2026-03-19T09:36:51.084+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896660.json to Snowflake stage
[2026-03-19T09:36:51.268+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896670.json to Snowflake stage
[2026-03-19T09:36:51.409+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896681.json to Snowflake stage
[2026-03-19T09:36:51.569+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896691.json to Snowflake stage
[2026-03-19T09:36:51.676+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896701.json to Snowflake stage
[2026-03-19T09:36:51.918+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896711.json to Snowflake stage
[2026-03-19T09:36:52.038+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896721.json to Snowflake stage
[2026-03-19T09:36:52.210+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896732.json to Snowflake stage
[2026-03-19T09:36:52.328+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896742.json to Snowflake stage
[2026-03-19T09:36:52.496+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896752.json to Snowflake stage
[2026-03-19T09:36:52.628+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896762.json to Snowflake stage
[2026-03-19T09:36:52.835+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896772.json to Snowflake stage
[2026-03-19T09:36:52.970+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896782.json to Snowflake stage
[2026-03-19T09:36:53.122+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896792.json to Snowflake stage
[2026-03-19T09:36:53.226+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896802.json to Snowflake stage
[2026-03-19T09:36:53.355+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896812.json to Snowflake stage
[2026-03-19T09:36:53.474+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896822.json to Snowflake stage
[2026-03-19T09:36:53.638+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896832.json to Snowflake stage
[2026-03-19T09:36:53.756+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896842.json to Snowflake stage
[2026-03-19T09:36:53.923+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896852.json to Snowflake stage
[2026-03-19T09:36:54.057+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896862.json to Snowflake stage
[2026-03-19T09:36:54.236+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896872.json to Snowflake stage
[2026-03-19T09:36:54.590+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896882.json to Snowflake stage
[2026-03-19T09:36:54.753+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896892.json to Snowflake stage
[2026-03-19T09:36:54.903+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896902.json to Snowflake stage
[2026-03-19T09:36:55.151+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896912.json to Snowflake stage
[2026-03-19T09:36:55.338+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896923.json to Snowflake stage
[2026-03-19T09:36:55.508+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896933.json to Snowflake stage
[2026-03-19T09:36:55.662+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896943.json to Snowflake stage
[2026-03-19T09:36:55.798+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896953.json to Snowflake stage
[2026-03-19T09:36:56.025+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896963.json to Snowflake stage
[2026-03-19T09:36:56.499+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896973.json to Snowflake stage
[2026-03-19T09:36:56.634+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896983.json to Snowflake stage
[2026-03-19T09:36:56.811+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896993.json to Snowflake stage
[2026-03-19T09:36:56.943+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897003.json to Snowflake stage
[2026-03-19T09:36:57.171+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897013.json to Snowflake stage
[2026-03-19T09:36:57.289+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897023.json to Snowflake stage
[2026-03-19T09:36:57.409+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897033.json to Snowflake stage
[2026-03-19T09:36:57.569+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897043.json to Snowflake stage
[2026-03-19T09:36:57.690+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897054.json to Snowflake stage
[2026-03-19T09:36:58.647+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897064.json to Snowflake stage
[2026-03-19T09:36:58.821+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897074.json to Snowflake stage
[2026-03-19T09:36:58.954+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897084.json to Snowflake stage
[2026-03-19T09:36:59.087+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897094.json to Snowflake stage
[2026-03-19T09:36:59.885+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897104.json to Snowflake stage
[2026-03-19T09:37:00.033+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897114.json to Snowflake stage
[2026-03-19T09:37:00.193+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897124.json to Snowflake stage
[2026-03-19T09:37:00.320+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897134.json to Snowflake stage
[2026-03-19T09:37:00.515+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897144.json to Snowflake stage
[2026-03-19T09:37:00.679+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897154.json to Snowflake stage
[2026-03-19T09:37:00.976+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897164.json to Snowflake stage
[2026-03-19T09:37:01.142+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897174.json to Snowflake stage
[2026-03-19T09:37:01.282+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897185.json to Snowflake stage
[2026-03-19T09:37:01.469+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897195.json to Snowflake stage
[2026-03-19T09:37:01.646+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897205.json to Snowflake stage
[2026-03-19T09:37:01.858+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897215.json to Snowflake stage
[2026-03-19T09:37:01.991+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897225.json to Snowflake stage
[2026-03-19T09:37:02.156+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897235.json to Snowflake stage
[2026-03-19T09:37:02.340+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897245.json to Snowflake stage
[2026-03-19T09:37:02.489+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897255.json to Snowflake stage
[2026-03-19T09:37:02.695+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897265.json to Snowflake stage
[2026-03-19T09:37:02.851+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897275.json to Snowflake stage
[2026-03-19T09:37:03.062+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897285.json to Snowflake stage
[2026-03-19T09:37:03.236+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897295.json to Snowflake stage
[2026-03-19T09:37:03.365+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897305.json to Snowflake stage
[2026-03-19T09:37:03.490+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897315.json to Snowflake stage
[2026-03-19T09:37:04.302+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897325.json to Snowflake stage
[2026-03-19T09:37:04.446+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897336.json to Snowflake stage
[2026-03-19T09:37:04.580+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897346.json to Snowflake stage
[2026-03-19T09:37:04.801+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897356.json to Snowflake stage
[2026-03-19T09:37:04.974+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897366.json to Snowflake stage
[2026-03-19T09:37:05.144+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897376.json to Snowflake stage
[2026-03-19T09:37:05.440+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897386.json to Snowflake stage
[2026-03-19T09:37:05.577+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897396.json to Snowflake stage
[2026-03-19T09:37:05.743+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897406.json to Snowflake stage
[2026-03-19T09:37:05.903+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897416.json to Snowflake stage
[2026-03-19T09:37:06.075+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897426.json to Snowflake stage
[2026-03-19T09:37:06.196+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897436.json to Snowflake stage
[2026-03-19T09:37:06.313+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897446.json to Snowflake stage
[2026-03-19T09:37:06.484+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897456.json to Snowflake stage
[2026-03-19T09:37:06.621+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897466.json to Snowflake stage
[2026-03-19T09:37:06.875+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897476.json to Snowflake stage
[2026-03-19T09:37:07.007+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897486.json to Snowflake stage
[2026-03-19T09:37:07.130+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897497.json to Snowflake stage
[2026-03-19T09:37:07.306+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897507.json to Snowflake stage
[2026-03-19T09:37:07.499+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897517.json to Snowflake stage
[2026-03-19T09:37:07.626+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897527.json to Snowflake stage
[2026-03-19T09:37:07.834+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897537.json to Snowflake stage
[2026-03-19T09:37:07.952+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897548.json to Snowflake stage
[2026-03-19T09:37:08.125+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897558.json to Snowflake stage
[2026-03-19T09:37:08.262+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897568.json to Snowflake stage
[2026-03-19T09:37:08.423+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897578.json to Snowflake stage
[2026-03-19T09:37:08.536+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897588.json to Snowflake stage
[2026-03-19T09:37:08.743+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897598.json to Snowflake stage
[2026-03-19T09:37:08.897+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897608.json to Snowflake stage
[2026-03-19T09:37:09.107+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897619.json to Snowflake stage
[2026-03-19T09:37:09.271+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897628.json to Snowflake stage
[2026-03-19T09:37:09.452+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897639.json to Snowflake stage
[2026-03-19T09:37:09.608+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897649.json to Snowflake stage
[2026-03-19T09:37:09.720+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897659.json to Snowflake stage
[2026-03-19T09:37:09.887+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897669.json to Snowflake stage
[2026-03-19T09:37:10.033+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897679.json to Snowflake stage
[2026-03-19T09:37:10.277+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897689.json to Snowflake stage
[2026-03-19T09:37:10.415+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897699.json to Snowflake stage
[2026-03-19T09:37:10.563+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897709.json to Snowflake stage
[2026-03-19T09:37:10.713+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897719.json to Snowflake stage
[2026-03-19T09:37:10.859+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897730.json to Snowflake stage
[2026-03-19T09:37:10.988+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897740.json to Snowflake stage
[2026-03-19T09:37:11.237+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897750.json to Snowflake stage
[2026-03-19T09:37:11.359+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897760.json to Snowflake stage
[2026-03-19T09:37:11.537+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897770.json to Snowflake stage
[2026-03-19T09:37:11.675+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897780.json to Snowflake stage
[2026-03-19T09:37:11.836+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897790.json to Snowflake stage
[2026-03-19T09:37:11.954+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897800.json to Snowflake stage
[2026-03-19T09:37:12.067+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897810.json to Snowflake stage
[2026-03-19T09:37:12.187+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897821.json to Snowflake stage
[2026-03-19T09:37:12.304+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897831.json to Snowflake stage
[2026-03-19T09:37:12.543+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897841.json to Snowflake stage
[2026-03-19T09:37:12.665+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897852.json to Snowflake stage
[2026-03-19T09:37:12.778+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897863.json to Snowflake stage
[2026-03-19T09:37:12.895+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897884.json to Snowflake stage
[2026-03-19T09:37:13.023+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897895.json to Snowflake stage
[2026-03-19T09:37:13.282+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903744.json to Snowflake stage
[2026-03-19T09:37:13.447+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903760.json to Snowflake stage
[2026-03-19T09:37:13.579+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903772.json to Snowflake stage
[2026-03-19T09:37:13.821+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903782.json to Snowflake stage
[2026-03-19T09:37:13.963+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903793.json to Snowflake stage
[2026-03-19T09:37:14.072+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903804.json to Snowflake stage
[2026-03-19T09:37:14.189+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903814.json to Snowflake stage
[2026-03-19T09:37:14.311+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903824.json to Snowflake stage
[2026-03-19T09:37:14.437+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903835.json to Snowflake stage
[2026-03-19T09:37:14.557+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903845.json to Snowflake stage
[2026-03-19T09:37:14.665+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903855.json to Snowflake stage
[2026-03-19T09:37:14.789+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903866.json to Snowflake stage
[2026-03-19T09:37:14.921+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903876.json to Snowflake stage
[2026-03-19T09:37:15.042+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903886.json to Snowflake stage
[2026-03-19T09:37:15.156+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903897.json to Snowflake stage
[2026-03-19T09:37:15.285+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903907.json to Snowflake stage
[2026-03-19T09:37:15.391+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903917.json to Snowflake stage
[2026-03-19T09:37:15.499+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903927.json to Snowflake stage
[2026-03-19T09:37:15.633+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903937.json to Snowflake stage
[2026-03-19T09:37:15.762+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903947.json to Snowflake stage
[2026-03-19T09:37:15.914+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903958.json to Snowflake stage
[2026-03-19T09:37:16.035+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903968.json to Snowflake stage
[2026-03-19T09:37:16.155+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903978.json to Snowflake stage
[2026-03-19T09:37:16.276+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903988.json to Snowflake stage
[2026-03-19T09:37:16.417+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903999.json to Snowflake stage
[2026-03-19T09:37:16.559+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904009.json to Snowflake stage
[2026-03-19T09:37:16.708+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904019.json to Snowflake stage
[2026-03-19T09:37:16.823+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904029.json to Snowflake stage
[2026-03-19T09:37:16.932+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904039.json to Snowflake stage
[2026-03-19T09:37:17.049+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904049.json to Snowflake stage
[2026-03-19T09:37:17.165+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904059.json to Snowflake stage
[2026-03-19T09:37:17.284+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904069.json to Snowflake stage
[2026-03-19T09:37:17.395+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904079.json to Snowflake stage
