[2026-03-19T09:28:31.541+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-03-19T09:28:31.596+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-03-19T09:27:00+00:00 [queued]>
[2026-03-19T09:28:31.608+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-03-19T09:27:00+00:00 [queued]>
[2026-03-19T09:28:31.610+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-03-19T09:28:31.630+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-03-19 09:27:00+00:00
[2026-03-19T09:28:31.651+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-03-19T09:27:00+00:00', '--job-id', '4', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpw0629f6w']
[2026-03-19T09:28:31.658+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=2076) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-03-19T09:28:31.659+0000] {standard_task_runner.py:91} INFO - Job 4: Subtask download_minio
[2026-03-19T09:28:31.660+0000] {standard_task_runner.py:64} INFO - Started process 2094 to run task
[2026-03-19T09:28:31.795+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-03-19T09:27:00+00:00 [running]> on host 09c0201b80c4
[2026-03-19T09:28:31.952+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-03-19T09:27:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-19T09:27:00+00:00'
[2026-03-19T09:28:31.954+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-03-19T09:28:32.835+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896373.json -> /tmp/minio_downloads/1773896373.json
[2026-03-19T09:28:32.849+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896383.json -> /tmp/minio_downloads/1773896383.json
[2026-03-19T09:28:32.861+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896393.json -> /tmp/minio_downloads/1773896393.json
[2026-03-19T09:28:32.873+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896404.json -> /tmp/minio_downloads/1773896404.json
[2026-03-19T09:28:32.885+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896414.json -> /tmp/minio_downloads/1773896414.json
[2026-03-19T09:28:32.897+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896425.json -> /tmp/minio_downloads/1773896425.json
[2026-03-19T09:28:32.908+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896436.json -> /tmp/minio_downloads/1773896436.json
[2026-03-19T09:28:32.920+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896446.json -> /tmp/minio_downloads/1773896446.json
[2026-03-19T09:28:32.933+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896457.json -> /tmp/minio_downloads/1773896457.json
[2026-03-19T09:28:32.947+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896467.json -> /tmp/minio_downloads/1773896467.json
[2026-03-19T09:28:32.961+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896477.json -> /tmp/minio_downloads/1773896477.json
[2026-03-19T09:28:32.975+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896487.json -> /tmp/minio_downloads/1773896487.json
[2026-03-19T09:28:32.989+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896498.json -> /tmp/minio_downloads/1773896498.json
[2026-03-19T09:28:33.003+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896508.json -> /tmp/minio_downloads/1773896508.json
[2026-03-19T09:28:33.016+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896518.json -> /tmp/minio_downloads/1773896518.json
[2026-03-19T09:28:33.029+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896528.json -> /tmp/minio_downloads/1773896528.json
[2026-03-19T09:28:33.043+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896538.json -> /tmp/minio_downloads/1773896538.json
[2026-03-19T09:28:33.057+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896548.json -> /tmp/minio_downloads/1773896548.json
[2026-03-19T09:28:33.071+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896558.json -> /tmp/minio_downloads/1773896558.json
[2026-03-19T09:28:33.085+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896568.json -> /tmp/minio_downloads/1773896568.json
[2026-03-19T09:28:33.103+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896578.json -> /tmp/minio_downloads/1773896578.json
[2026-03-19T09:28:33.123+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896588.json -> /tmp/minio_downloads/1773896588.json
[2026-03-19T09:28:33.141+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896598.json -> /tmp/minio_downloads/1773896598.json
[2026-03-19T09:28:33.155+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896608.json -> /tmp/minio_downloads/1773896608.json
[2026-03-19T09:28:33.169+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896618.json -> /tmp/minio_downloads/1773896618.json
[2026-03-19T09:28:33.183+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896629.json -> /tmp/minio_downloads/1773896629.json
[2026-03-19T09:28:33.197+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896639.json -> /tmp/minio_downloads/1773896639.json
[2026-03-19T09:28:33.211+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896649.json -> /tmp/minio_downloads/1773896649.json
[2026-03-19T09:28:33.225+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896660.json -> /tmp/minio_downloads/1773896660.json
[2026-03-19T09:28:33.239+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896670.json -> /tmp/minio_downloads/1773896670.json
[2026-03-19T09:28:33.253+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896681.json -> /tmp/minio_downloads/1773896681.json
[2026-03-19T09:28:33.266+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896691.json -> /tmp/minio_downloads/1773896691.json
[2026-03-19T09:28:33.280+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896701.json -> /tmp/minio_downloads/1773896701.json
[2026-03-19T09:28:33.293+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896711.json -> /tmp/minio_downloads/1773896711.json
[2026-03-19T09:28:33.307+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896721.json -> /tmp/minio_downloads/1773896721.json
[2026-03-19T09:28:33.321+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896732.json -> /tmp/minio_downloads/1773896732.json
[2026-03-19T09:28:33.335+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896742.json -> /tmp/minio_downloads/1773896742.json
[2026-03-19T09:28:33.350+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896752.json -> /tmp/minio_downloads/1773896752.json
[2026-03-19T09:28:33.364+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896762.json -> /tmp/minio_downloads/1773896762.json
[2026-03-19T09:28:33.378+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896772.json -> /tmp/minio_downloads/1773896772.json
[2026-03-19T09:28:33.391+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896782.json -> /tmp/minio_downloads/1773896782.json
[2026-03-19T09:28:33.404+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896792.json -> /tmp/minio_downloads/1773896792.json
[2026-03-19T09:28:33.417+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896802.json -> /tmp/minio_downloads/1773896802.json
[2026-03-19T09:28:33.430+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896812.json -> /tmp/minio_downloads/1773896812.json
[2026-03-19T09:28:33.442+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896822.json -> /tmp/minio_downloads/1773896822.json
[2026-03-19T09:28:33.455+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896832.json -> /tmp/minio_downloads/1773896832.json
[2026-03-19T09:28:33.469+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896842.json -> /tmp/minio_downloads/1773896842.json
[2026-03-19T09:28:33.482+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896852.json -> /tmp/minio_downloads/1773896852.json
[2026-03-19T09:28:33.495+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896862.json -> /tmp/minio_downloads/1773896862.json
[2026-03-19T09:28:33.507+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896872.json -> /tmp/minio_downloads/1773896872.json
[2026-03-19T09:28:33.521+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896882.json -> /tmp/minio_downloads/1773896882.json
[2026-03-19T09:28:33.534+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896892.json -> /tmp/minio_downloads/1773896892.json
[2026-03-19T09:28:33.547+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896902.json -> /tmp/minio_downloads/1773896902.json
[2026-03-19T09:28:33.560+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896912.json -> /tmp/minio_downloads/1773896912.json
[2026-03-19T09:28:33.573+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896923.json -> /tmp/minio_downloads/1773896923.json
[2026-03-19T09:28:33.586+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896933.json -> /tmp/minio_downloads/1773896933.json
[2026-03-19T09:28:33.599+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896943.json -> /tmp/minio_downloads/1773896943.json
[2026-03-19T09:28:33.611+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896953.json -> /tmp/minio_downloads/1773896953.json
[2026-03-19T09:28:33.624+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896963.json -> /tmp/minio_downloads/1773896963.json
[2026-03-19T09:28:33.638+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896973.json -> /tmp/minio_downloads/1773896973.json
[2026-03-19T09:28:33.651+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896983.json -> /tmp/minio_downloads/1773896983.json
[2026-03-19T09:28:33.664+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896993.json -> /tmp/minio_downloads/1773896993.json
[2026-03-19T09:28:33.678+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897003.json -> /tmp/minio_downloads/1773897003.json
[2026-03-19T09:28:33.690+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897013.json -> /tmp/minio_downloads/1773897013.json
[2026-03-19T09:28:33.703+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897023.json -> /tmp/minio_downloads/1773897023.json
[2026-03-19T09:28:33.715+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897033.json -> /tmp/minio_downloads/1773897033.json
[2026-03-19T09:28:33.729+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897043.json -> /tmp/minio_downloads/1773897043.json
[2026-03-19T09:28:33.742+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897054.json -> /tmp/minio_downloads/1773897054.json
[2026-03-19T09:28:33.755+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897064.json -> /tmp/minio_downloads/1773897064.json
[2026-03-19T09:28:33.768+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897074.json -> /tmp/minio_downloads/1773897074.json
[2026-03-19T09:28:33.780+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897084.json -> /tmp/minio_downloads/1773897084.json
[2026-03-19T09:28:33.793+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897094.json -> /tmp/minio_downloads/1773897094.json
[2026-03-19T09:28:33.807+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897104.json -> /tmp/minio_downloads/1773897104.json
[2026-03-19T09:28:33.820+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897114.json -> /tmp/minio_downloads/1773897114.json
[2026-03-19T09:28:33.833+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897124.json -> /tmp/minio_downloads/1773897124.json
[2026-03-19T09:28:33.847+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897134.json -> /tmp/minio_downloads/1773897134.json
[2026-03-19T09:28:33.860+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897144.json -> /tmp/minio_downloads/1773897144.json
[2026-03-19T09:28:33.873+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897154.json -> /tmp/minio_downloads/1773897154.json
[2026-03-19T09:28:33.885+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897164.json -> /tmp/minio_downloads/1773897164.json
[2026-03-19T09:28:33.899+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897174.json -> /tmp/minio_downloads/1773897174.json
[2026-03-19T09:28:33.912+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897185.json -> /tmp/minio_downloads/1773897185.json
[2026-03-19T09:28:33.925+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897195.json -> /tmp/minio_downloads/1773897195.json
[2026-03-19T09:28:33.939+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897205.json -> /tmp/minio_downloads/1773897205.json
[2026-03-19T09:28:33.953+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897215.json -> /tmp/minio_downloads/1773897215.json
[2026-03-19T09:28:33.966+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897225.json -> /tmp/minio_downloads/1773897225.json
[2026-03-19T09:28:33.980+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897235.json -> /tmp/minio_downloads/1773897235.json
[2026-03-19T09:28:33.992+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897245.json -> /tmp/minio_downloads/1773897245.json
[2026-03-19T09:28:34.005+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897255.json -> /tmp/minio_downloads/1773897255.json
[2026-03-19T09:28:34.018+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897265.json -> /tmp/minio_downloads/1773897265.json
[2026-03-19T09:28:34.033+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897275.json -> /tmp/minio_downloads/1773897275.json
[2026-03-19T09:28:34.046+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897285.json -> /tmp/minio_downloads/1773897285.json
[2026-03-19T09:28:34.059+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897295.json -> /tmp/minio_downloads/1773897295.json
[2026-03-19T09:28:34.073+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897305.json -> /tmp/minio_downloads/1773897305.json
[2026-03-19T09:28:34.086+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897315.json -> /tmp/minio_downloads/1773897315.json
[2026-03-19T09:28:34.100+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897325.json -> /tmp/minio_downloads/1773897325.json
[2026-03-19T09:28:34.113+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897336.json -> /tmp/minio_downloads/1773897336.json
[2026-03-19T09:28:34.125+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897346.json -> /tmp/minio_downloads/1773897346.json
[2026-03-19T09:28:34.138+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897356.json -> /tmp/minio_downloads/1773897356.json
[2026-03-19T09:28:34.153+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897366.json -> /tmp/minio_downloads/1773897366.json
[2026-03-19T09:28:34.166+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897376.json -> /tmp/minio_downloads/1773897376.json
[2026-03-19T09:28:34.180+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897386.json -> /tmp/minio_downloads/1773897386.json
[2026-03-19T09:28:34.194+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897396.json -> /tmp/minio_downloads/1773897396.json
[2026-03-19T09:28:34.208+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897406.json -> /tmp/minio_downloads/1773897406.json
[2026-03-19T09:28:34.221+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897416.json -> /tmp/minio_downloads/1773897416.json
[2026-03-19T09:28:34.235+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897426.json -> /tmp/minio_downloads/1773897426.json
[2026-03-19T09:28:34.247+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897436.json -> /tmp/minio_downloads/1773897436.json
[2026-03-19T09:28:34.260+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897446.json -> /tmp/minio_downloads/1773897446.json
[2026-03-19T09:28:34.272+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897456.json -> /tmp/minio_downloads/1773897456.json
[2026-03-19T09:28:34.285+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897466.json -> /tmp/minio_downloads/1773897466.json
[2026-03-19T09:28:34.299+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897476.json -> /tmp/minio_downloads/1773897476.json
[2026-03-19T09:28:34.312+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897486.json -> /tmp/minio_downloads/1773897486.json
[2026-03-19T09:28:34.325+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897497.json -> /tmp/minio_downloads/1773897497.json
