[2026-03-19T09:36:23.305+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-03-19T09:36:23.358+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-03-19T09:34:00+00:00 [queued]>
[2026-03-19T09:36:23.369+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-03-19T09:34:00+00:00 [queued]>
[2026-03-19T09:36:23.371+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-03-19T09:36:23.391+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-03-19 09:34:00+00:00
[2026-03-19T09:36:23.411+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-03-19T09:34:00+00:00', '--job-id', '8', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpqd4p_1gq']
[2026-03-19T09:36:23.417+0000] {standard_task_runner.py:91} INFO - Job 8: Subtask download_minio
[2026-03-19T09:36:23.418+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=9196) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-03-19T09:36:23.419+0000] {standard_task_runner.py:64} INFO - Started process 9215 to run task
[2026-03-19T09:36:23.540+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-03-19T09:34:00+00:00 [running]> on host 09c0201b80c4
[2026-03-19T09:36:23.702+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-03-19T09:34:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-19T09:34:00+00:00'
[2026-03-19T09:36:23.704+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-03-19T09:36:24.548+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896373.json -> /tmp/minio_downloads/1773896373.json
[2026-03-19T09:36:24.561+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896383.json -> /tmp/minio_downloads/1773896383.json
[2026-03-19T09:36:24.574+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896393.json -> /tmp/minio_downloads/1773896393.json
[2026-03-19T09:36:24.586+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896404.json -> /tmp/minio_downloads/1773896404.json
[2026-03-19T09:36:24.598+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896414.json -> /tmp/minio_downloads/1773896414.json
[2026-03-19T09:36:24.610+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896425.json -> /tmp/minio_downloads/1773896425.json
[2026-03-19T09:36:24.622+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896436.json -> /tmp/minio_downloads/1773896436.json
[2026-03-19T09:36:24.634+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896446.json -> /tmp/minio_downloads/1773896446.json
[2026-03-19T09:36:24.645+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896457.json -> /tmp/minio_downloads/1773896457.json
[2026-03-19T09:36:24.657+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896467.json -> /tmp/minio_downloads/1773896467.json
[2026-03-19T09:36:24.669+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896477.json -> /tmp/minio_downloads/1773896477.json
[2026-03-19T09:36:24.681+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896487.json -> /tmp/minio_downloads/1773896487.json
[2026-03-19T09:36:24.692+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896498.json -> /tmp/minio_downloads/1773896498.json
[2026-03-19T09:36:24.704+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896508.json -> /tmp/minio_downloads/1773896508.json
[2026-03-19T09:36:24.715+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896518.json -> /tmp/minio_downloads/1773896518.json
[2026-03-19T09:36:24.728+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896528.json -> /tmp/minio_downloads/1773896528.json
[2026-03-19T09:36:24.744+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896538.json -> /tmp/minio_downloads/1773896538.json
[2026-03-19T09:36:24.759+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896548.json -> /tmp/minio_downloads/1773896548.json
[2026-03-19T09:36:24.775+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896558.json -> /tmp/minio_downloads/1773896558.json
[2026-03-19T09:36:24.795+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896568.json -> /tmp/minio_downloads/1773896568.json
[2026-03-19T09:36:24.812+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896578.json -> /tmp/minio_downloads/1773896578.json
[2026-03-19T09:36:24.826+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896588.json -> /tmp/minio_downloads/1773896588.json
[2026-03-19T09:36:24.840+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896598.json -> /tmp/minio_downloads/1773896598.json
[2026-03-19T09:36:24.852+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896608.json -> /tmp/minio_downloads/1773896608.json
[2026-03-19T09:36:24.863+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896618.json -> /tmp/minio_downloads/1773896618.json
[2026-03-19T09:36:24.874+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896629.json -> /tmp/minio_downloads/1773896629.json
[2026-03-19T09:36:24.886+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896639.json -> /tmp/minio_downloads/1773896639.json
[2026-03-19T09:36:24.897+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896649.json -> /tmp/minio_downloads/1773896649.json
[2026-03-19T09:36:24.908+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896660.json -> /tmp/minio_downloads/1773896660.json
[2026-03-19T09:36:24.919+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896670.json -> /tmp/minio_downloads/1773896670.json
[2026-03-19T09:36:24.929+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896681.json -> /tmp/minio_downloads/1773896681.json
[2026-03-19T09:36:24.940+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896691.json -> /tmp/minio_downloads/1773896691.json
[2026-03-19T09:36:24.951+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896701.json -> /tmp/minio_downloads/1773896701.json
[2026-03-19T09:36:24.962+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896711.json -> /tmp/minio_downloads/1773896711.json
[2026-03-19T09:36:24.973+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896721.json -> /tmp/minio_downloads/1773896721.json
[2026-03-19T09:36:24.984+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896732.json -> /tmp/minio_downloads/1773896732.json
[2026-03-19T09:36:24.995+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896742.json -> /tmp/minio_downloads/1773896742.json
[2026-03-19T09:36:25.007+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896752.json -> /tmp/minio_downloads/1773896752.json
[2026-03-19T09:36:25.018+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896762.json -> /tmp/minio_downloads/1773896762.json
[2026-03-19T09:36:25.030+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896772.json -> /tmp/minio_downloads/1773896772.json
[2026-03-19T09:36:25.042+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896782.json -> /tmp/minio_downloads/1773896782.json
[2026-03-19T09:36:25.054+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896792.json -> /tmp/minio_downloads/1773896792.json
[2026-03-19T09:36:25.066+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896802.json -> /tmp/minio_downloads/1773896802.json
[2026-03-19T09:36:25.078+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896812.json -> /tmp/minio_downloads/1773896812.json
[2026-03-19T09:36:25.089+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896822.json -> /tmp/minio_downloads/1773896822.json
[2026-03-19T09:36:25.101+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896832.json -> /tmp/minio_downloads/1773896832.json
[2026-03-19T09:36:25.113+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896842.json -> /tmp/minio_downloads/1773896842.json
[2026-03-19T09:36:25.124+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896852.json -> /tmp/minio_downloads/1773896852.json
[2026-03-19T09:36:25.136+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896862.json -> /tmp/minio_downloads/1773896862.json
[2026-03-19T09:36:25.148+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896872.json -> /tmp/minio_downloads/1773896872.json
[2026-03-19T09:36:25.160+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896882.json -> /tmp/minio_downloads/1773896882.json
[2026-03-19T09:36:25.171+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896892.json -> /tmp/minio_downloads/1773896892.json
[2026-03-19T09:36:25.182+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896902.json -> /tmp/minio_downloads/1773896902.json
[2026-03-19T09:36:25.194+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896912.json -> /tmp/minio_downloads/1773896912.json
[2026-03-19T09:36:25.204+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896923.json -> /tmp/minio_downloads/1773896923.json
[2026-03-19T09:36:25.215+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896933.json -> /tmp/minio_downloads/1773896933.json
[2026-03-19T09:36:25.226+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896943.json -> /tmp/minio_downloads/1773896943.json
[2026-03-19T09:36:25.237+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896953.json -> /tmp/minio_downloads/1773896953.json
[2026-03-19T09:36:25.250+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896963.json -> /tmp/minio_downloads/1773896963.json
[2026-03-19T09:36:25.262+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896973.json -> /tmp/minio_downloads/1773896973.json
[2026-03-19T09:36:25.274+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896983.json -> /tmp/minio_downloads/1773896983.json
[2026-03-19T09:36:25.286+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773896993.json -> /tmp/minio_downloads/1773896993.json
[2026-03-19T09:36:25.298+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897003.json -> /tmp/minio_downloads/1773897003.json
[2026-03-19T09:36:25.310+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897013.json -> /tmp/minio_downloads/1773897013.json
[2026-03-19T09:36:25.322+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897023.json -> /tmp/minio_downloads/1773897023.json
[2026-03-19T09:36:25.333+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897033.json -> /tmp/minio_downloads/1773897033.json
[2026-03-19T09:36:25.346+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897043.json -> /tmp/minio_downloads/1773897043.json
[2026-03-19T09:36:25.357+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897054.json -> /tmp/minio_downloads/1773897054.json
[2026-03-19T09:36:25.368+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897064.json -> /tmp/minio_downloads/1773897064.json
